,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
56758, 2000-07-03T00:52:56.700Z, 34.079, 139.302, 10.0, 5.2, mwc, 138.0, , , 0.95, us, usp0009vn2, 2022-04-29T18:43:26.558Z, 73 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56759, 2000-07-02T20:03:34.800Z, 34.076, 139.226, 10.0, 5.7, mwc, 273.0, , , 0.77, us, usp0009vmj, 2022-04-29T18:43:25.151Z, 71 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56760, 2000-07-02T19:42:45.990Z, 34.244, 139.204, 10.0, 5.3, mwc, 129.0, , , 1.03, us, usp0009vmg, 2022-04-29T18:43:23.395Z, 53 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56762, 2000-07-01T07:01:55.580Z, 34.221, 139.131, 10.0, 6.1, mwc, 355.0, , , 1.04, us, usp0009vhb, 2022-04-29T18:43:20.727Z, 53 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56772, 2000-08-29T02:00:35.370Z, 34.296, 139.113, 10.0, 5.2, mwc, 174.0, , , 0.76, us, usp0009zau, 2022-04-29T18:51:25.249Z, 44 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56780, 2000-08-28T08:19:56.360Z, 37.814, 142.104, 33.0, 5.0, mb, 91.0, , , 0.87, us, usp0009z9m, 2014-11-07T01:10:55.446Z, 97 km SE of Ishinomaki, Japan, earthquake, , , , 42.0, reviewed, us, us
56782, 2000-08-27T17:19:06.520Z, 22.219, 143.76, 99.6, 5.6, mwc, 236.0, , , 1.03, us, usp0009z8q, 2022-04-29T18:51:18.531Z, Volcano Islands, Japan region, earthquake, , , , , reviewed, us, hrv
56786, 2000-08-27T00:45:05.950Z, 33.899, 139.408, 10.0, 5.0, mb, 61.0, , , 0.96, us, usp0009z7f, 2014-11-07T01:10:55.151Z, 96 km SSE of Shimoda, Japan, earthquake, , , , 31.0, reviewed, us, us
56788, 2000-08-26T15:30:49.560Z, 42.234, 142.494, 33.0, 5.0, mwc, 244.0, , , 0.76, us, usp0009z6w, 2022-04-29T18:51:15.031Z, 15 km SE of Shizunai-furukawach?, Japan, earthquake, , , , , reviewed, us, hrv
56796, 2000-08-24T02:25:02.630Z, 31.148, 139.806, 10.0, 5.0, mwc, 123.0, , , 0.91, us, usp0009z2w, 2016-11-09T23:19:11.601Z, Izu Islands, Japan region, earthquake, , , , , reviewed, us, hrv
56799, 2000-08-23T14:57:11.630Z, 34.068, 139.445, 10.0, 5.4, mwc, 105.0, , , 1.29, us, usp0009z1r, 2022-04-29T18:51:01.346Z, 81 km SE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56812, 2000-08-19T12:41:28.030Z, 36.244, 141.42, 33.0, 5.5, mwc, 252.0, , , 0.87, us, usp0009ysh, 2016-11-09T23:16:46.134Z, 75 km E of ?arai, Japan, earthquake, , , , , reviewed, us, hrv
56815, 2000-08-18T02:08:40.810Z, 34.232, 139.129, 10.0, 5.0, mb, 105.0, , , 0.84, us, usp0009ypq, 2014-11-07T01:10:53.111Z, 52 km SSE of Shimoda, Japan, earthquake, , , , 36.0, reviewed, us, us
56816, 2000-08-18T01:52:20.870Z, 34.127, 139.18, 10.0, 5.7, mwc, 287.0, , , 0.83, us, usp0009ypm, 2022-04-29T18:49:48.142Z, 64 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56821, 2000-08-16T02:00:43.070Z, 34.117, 139.228, 10.0, 5.1, mwc, 92.0, , , 0.95, us, usp0009yk2, 2022-04-29T18:49:37.044Z, 67 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
